source,target,weight
1,2,2
1,3,1
1,4,2
1,5,1
1,6,3
1,7,2
1,8,1
1,9,1
1,10,1
1,11,1
1,12,1
1,13,1
1,14,4
1,15,1
1,16,1
1,17,1
1,18,5
1,19,1
1,20,1
1,21,4
1,22,1
1,23,1
1,24,1
1,25,1
1,26,1
1,27,1
1,28,1
1,29,1
1,30,1
1,31,1
1,32,3
1,33,1
1,34,2
1,35,1
1,36,2
1,37,1
1,38,3
1,39,2
2,3,1
2,4,3
2,5,1
2,6,1
2,7,1
2,8,2
2,9,1
2,10,2
2,11,1
2,12,1
2,13,1
2,14,2
2,15,1
2,16,2
2,17,1
2,18,3
2,19,5
2,20,1
2,21,1
2,22,1
2,23,1
2,24,1
2,25,2
2,26,1
2,27,1
,,
2,28,1
2,29,1
2,30,2
2,31,1
2,32,1
2,33,1
2,34,1
2,35,1
2,36,2
2,37,1
2,38,2
2,39,1
3,4,1
3,5,1
3,6,1
3,7,1
3,8,2
3,9,2
3,10,1
3,11,2
3,12,1
3,13,5
3,14,1
3,15,1
3,16,1
3,17,1
3,18,1
3,19,1
3,20,2
3,21,2
3,22,1
3,23,2
3,24,1
3,25,2
3,26,1
3,27,2
3,28,1
3,29,1
3,30,2
3,31,1
3,32,1
3,33,1
3,34,1
3,35,1
3,36,1
3,37,1
3,38,1
3,39,1
4,5,1
4,6,1
4,7,1
4,8,1
4,9,1
4,10,2
4,11,1
4,12,1
4,13,3
4,14,4
4,15,2
4,16,3
4,17,1
4,18,2
4,19,3
4,20,2
4,21,2
4,22,1
4,23,1
4,24,2
4,25,2
4,26,2
4,27,1
4,28,2
4,29,1
4,30,5
4,31,1
4,32,2
4,33,1
4,34,1
4,35,1
4,36,3
4,37,1
4,38,5
4,39,3
5,6,1
5,7,5
5,8,1
5,9,1
5,10,1
5,11,1
5,12,1
5,13,1
5,14,2
5,15,1
5,16,1
5,17,1
5,18,1
5,19,1
5,20,2
5,21,1
5,22,1
5,23,1
5,24,1
5,25,1
5,26,1
5,27,1
5,28,1
5,29,1
5,30,1
5,31,1
5,32,1
5,33,2
5,34,1
5,35,1
5,36,2
5,37,1
5,38,1
5,39,1
6,7,1
6,8,1
6,9,1
6,10,1
6,11,1
6,12,1
6,13,1
6,14,2
6,15,1
6,16,3
6,17,1
6,18,1
6,19,1
6,20,1
6,21,2
6,22,5
6,23,1
6,24,1
6,25,1
6,26,1
6,27,1
6,28,3
6,29,1
6,30,1
6,31,1
6,32,2
6,33,1
6,34,1
6,35,1
6,36,1
6,37,1
6,38,1
6,39,1
7,8,1
7,9,1
7,10,1
7,11,1
7,12,1
7,13,2
7,14,1
7,15,1
7,16,1
7,17,1
7,18,1
7,19,2
7,20,1
7,21,1
7,22,1
7,23,1
7,24,1
7,25,1
7,26,1
7,27,1
7,28,1
7,29,1
7,30,1
7,31,1
7,32,1
7,33,1
7,34,1
7,35,2
7,36,1
7,37,1
7,38,1
7,39,1
8,9,1
8,10,1
8,11,2
8,12,5
8,13,3
8,14,1
8,15,1
8,16,1
8,17,1
8,18,1
8,19,1
8,20,3
8,21,1
8,22,2
8,23,2
8,24,1
8,25,1
8,26,1
8,27,1
8,28,1
8,29,2
8,30,2
8,31,1
8,32,1
8,33,1
